,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CalculatedTotalCharges,Churn
0,5365,0,0,1,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,1,2,-1.1616939352451685,-0.9941940877241977,-0.9950342970903485,0
1,3953,1,0,0,0,0.06430268518835193,1,0,0,2,0,2,0,0,0,1,0,3,-0.2608779199297493,-0.17373981825040724,-0.15316439416274613,0
2,2558,1,0,0,0,-1.2395040756535771,1,0,0,2,2,0,0,0,0,0,1,3,-0.3639232943754246,-0.9596491092068434,-0.9606564891526037,1
3,5524,1,0,0,0,0.512486259227765,0,1,0,2,0,2,2,0,0,1,0,0,-0.747850415293989,-0.19524770717404732,-0.16764855730157782,0
4,6500,0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.19617817640187488,-0.94045745447498,-0.9457748947081334,1
5,6540,0,0,0,0,-0.9950403079957154,1,2,1,0,0,2,0,2,2,0,1,2,1.1584890119510036,-0.6453692184426381,-0.6561799499994226,1
6,1001,1,0,0,1,-0.42462485012737144,1,2,1,0,2,0,0,2,0,0,1,1,0.8078023344020117,-0.14731268909089865,-0.1426103850463416,0
7,4760,0,0,0,0,-0.9135523854430948,0,1,0,2,0,0,0,0,0,0,0,3,-1.1650179795821258,-0.8741690378436584,-0.8768426426968041,0
8,5593,0,0,1,0,-0.18016108246950976,1,2,1,0,0,2,2,2,2,0,1,2,1.3296772953043026,0.33651554451135574,0.2875869237905387,1
9,4524,1,0,0,1,1.2051336009250397,1,0,0,2,2,0,0,0,0,1,0,0,-0.28747027462540753,0.5314762853391823,0.5290926805169702,0
10,6860,1,0,1,1,-0.791320501614164,1,0,0,2,0,0,0,0,0,0,1,3,-0.4935610235167579,-0.7481879571842651,-0.7214690817090642,0
11,5278,1,0,0,0,-0.6690886177852331,1,0,2,1,1,1,1,1,1,2,0,1,-1.5240147679735105,-0.8631834699626608,-0.8743255777610925,0
12,5740,1,0,1,0,1.0421577558197987,1,2,1,0,0,2,0,2,2,1,0,1,1.181757322309704,1.4990665744239262,1.561972484837913,0
13,174,1,0,0,0,0.6754621043330061,1,2,1,0,2,2,0,2,2,0,1,0,1.2931128075977727,1.2145888969272465,1.2356372238746056,1
14,3606,1,0,0,0,-0.3023929662984406,1,0,1,2,0,2,2,2,2,0,1,2,1.3529456056630036,0.17768805707524432,0.15647875196373742,0
15,2550,0,0,1,1,1.4903413298592119,1,2,1,2,2,2,2,2,2,2,0,1,1.6105590417771916,2.475877681529266,2.4424815424803863,0
16,5809,0,0,0,0,0.797693988161937,1,0,2,1,1,1,1,1,1,1,0,3,-1.4675060142452372,-0.5560508161330804,-0.5340360620664715,0
17,7008,1,0,0,1,1.5718292524118322,1,2,1,2,0,2,0,2,2,2,0,0,1.3928341377064908,2.2495926306793175,2.3371401669691587,0
18,2930,0,0,1,1,-0.9135523854430948,1,0,0,0,0,2,2,0,0,0,0,1,-0.3190486958265014,-0.7742621363716935,-0.7644579012689803,1
19,2921,0,0,0,0,-0.46536881140368175,1,0,1,0,2,2,0,0,2,0,1,2,0.8393807556031058,-0.18547540482207542,-0.17314635702957934,0
20,6196,1,1,0,0,-1.2802480369298874,0,1,0,0,0,2,0,0,2,0,1,2,-0.8359375902233565,-0.9898704505662146,-0.990706711762283,1
21,1140,1,0,1,0,-0.8320644628904743,1,0,2,1,1,1,1,1,1,1,0,0,-1.495760391109374,-0.9181333687409043,-0.9032939040387556,0
22,723,1,0,0,0,-1.2802480369298874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4841262359300234,-0.9984736061356706,-0.9993177233844541,1
23,2535,0,0,1,0,1.0421577558197987,1,2,0,0,2,0,2,0,0,2,1,1,-0.16281861198951006,0.5390426503656527,0.5259573891058207,0
24,4469,1,0,1,1,0.6754621043330061,1,0,0,2,2,0,2,0,0,0,0,1,-0.17279074500038175,0.3030955940300073,0.28140465903615935,0
